area,eccRange,route,experiment,asymmetry,n,equal,equal_lo,equal_hi,equal_p,weighted,weighted_lo,weighted_hi,weighted_p,tau,mean_sigma,weight_ratio,emptyCells
V1,4-8,harmonic,dg,horiz-vert,8,-0.54794776572571,-0.685133256232422,-0.410762275218999,3.11367660514998e-05,-0.556516197137586,-0.683554184743469,-0.429478209531702,1.69507644212086e-05,0.0999632036601204,0.130130672885822,3.24540837884991,0
V1,4-8,harmonic,dg,card-obl,8,-0.221270294125396,-0.356053886752593,-0.0864867014981982,0.00603789052568386,-0.213322596302631,-0.347329126142723,-0.0793160664625389,0.00703607672477147,0.140686710509744,0.0787353380208704,1.36737489034282,0
V1,4-8,harmonic,dg,rad-tang,8,0.11858077157573,0.0455503097544186,0.19161123339704,0.00637884342178701,0.126260455791451,0.0545448889355739,0.197976022647328,0.0042254114143272,0.076700953961601,0.0418070474919633,1.79022428208122,0
V1,4-8,harmonic,dg,polc-polo,8,0.0716540759695779,0.0302072696841013,0.113100882255055,0.00464258127171379,0.073181053506622,0.032134504325345,0.114227602687899,0.00395696530966116,0.0420471171255195,0.0262649454626255,1.52680385085305,0
V1,4-8,harmonic,da,horiz-vert,8,-0.231584997832912,-0.382229510775706,-0.0809404848901167,0.00834089563512972,-0.231857762127316,-0.382018558167574,-0.0816969660870583,0.0081656986439369,0.172111545848835,0.0533560890705594,1.25852358703605,0
V1,4-8,harmonic,da,card-obl,8,-0.0407148214224363,-0.092353989393141,0.0109243465482684,0.104536386333457,-0.0421428052117702,-0.0923941684399368,0.00810855801639642,0.0877837938609753,0.0528896638334922,0.0319052318748841,2.2172385264623,0
V1,4-8,harmonic,da,rad-tang,8,0.15475000557336,0.0228666735022198,0.286633337644501,0.0275106305056533,0.183926178146602,0.09538453820052,0.272467818092685,0.00172932032475703,0.0178618026129082,0.156736746964011,17.0670443087084,0
V1,4-8,harmonic,da,polc-polo,8,0.0326463628768649,-0.0447781492362414,0.110070874989971,0.351948521393243,0.0304926881792625,-0.0420958279186312,0.103081204277156,0.353640972043354,0.0576160520602272,0.0725061294043372,3.77330949390864,0
V1,4-8,harmonic,dg-da,horiz-vert,8,-0.316362767892799,-0.519758424434789,-0.112967111350809,0.00788099247619044,-0.322269652639988,-0.521675325133487,-0.122863980146488,0.00652875014845833,0.198517589824371,0.140644460490352,1.71693198395242,0
V1,4-8,harmonic,dg-da,card-obl,8,-0.180555472702959,-0.310968063584968,-0.0501428818209504,0.0136026814096689,-0.172273237916558,-0.301610882559314,-0.0429355932738019,0.016161151408691,0.130829325803075,0.0849540892144153,1.43379551810013,0
V1,4-8,harmonic,dg-da,rad-tang,8,-0.0361692339976308,-0.214891983601125,0.142553515605864,0.646848709475729,-0.0446517669297127,-0.201145111204822,0.111841577345396,0.52152452251351,0.139236235331625,0.162216636227163,5.14808379736105,0
