area,experiment,asymmetry,observer,value,gainScale,nVertex
V1,dg,horiz-vert,sub-0037,-0.698026397661003,0.964915744882791,1232
V1,dg,card-obl,sub-0037,-0.215557607474903,0.964915744882791,1232
V1,dg,rad-tang,sub-0037,0.172927754176711,0.964915744882791,1232
V1,dg,polc-polo,sub-0037,0.0973249967616937,0.964915744882791,1232
V1,dg,horiz-vert,sub-0201,-0.254191369936529,1.10283751004459,1126
V1,dg,card-obl,sub-0201,-0.131590415617588,1.10283751004459,1126
V1,dg,rad-tang,sub-0201,0.0622610157660833,1.10283751004459,1126
V1,dg,polc-polo,sub-0201,0.0789146317322227,1.10283751004459,1126
V1,dg,horiz-vert,sub-0255,-0.441380320845727,0.936636799485268,1606
V1,dg,card-obl,sub-0255,-0.0448930402591849,0.936636799485268,1606
V1,dg,rad-tang,sub-0255,0.0939137607960901,0.936636799485268,1606
V1,dg,polc-polo,sub-0255,0.0352672283016864,0.936636799485268,1606
V1,dg,horiz-vert,sub-wlsubj123,-0.472729975168843,1.04705220887972,1235
V1,dg,card-obl,sub-wlsubj123,-0.24235708260459,1.04705220887972,1235
V1,dg,rad-tang,sub-wlsubj123,0.108204784379709,1.04705220887972,1235
V1,dg,polc-polo,sub-wlsubj123,0.0766880944894367,1.04705220887972,1235
V1,dg,horiz-vert,sub-wlsubj124,-0.6705082949668,0.988239718461954,1564
V1,dg,card-obl,sub-wlsubj124,-0.413909342472096,0.988239718461954,1564
V1,dg,rad-tang,sub-wlsubj124,0.0218942574228754,0.988239718461954,1564
V1,dg,polc-polo,sub-wlsubj124,0.00606515672798101,0.988239718461954,1564
V1,dg,horiz-vert,sub-0426,-0.631333964123461,1.27244261164101,1135
V1,dg,card-obl,sub-0426,0.0255385186526869,1.27244261164101,1135
V1,dg,rad-tang,sub-0426,0.0510409046019279,1.27244261164101,1135
V1,dg,polc-polo,sub-0426,0.0395590603099295,1.27244261164101,1135
V1,dg,horiz-vert,sub-0250,-0.430638773929929,0.762007094609426,1391
V1,dg,card-obl,sub-0250,-0.330032696559961,0.762007094609426,1391
V1,dg,rad-tang,sub-0250,0.124842441745088,0.762007094609426,1391
V1,dg,polc-polo,sub-0250,0.0605637362226498,0.762007094609426,1391
V1,da,horiz-vert,sub-0037,0.0404117888554149,0.964915744882791,1232
V1,da,card-obl,sub-0037,0.0447405192160713,0.964915744882791,1232
V1,da,rad-tang,sub-0037,0.267398398405136,0.964915744882791,1232
V1,da,polc-polo,sub-0037,0.142308601046216,0.964915744882791,1232
V1,da,horiz-vert,sub-0201,-0.16376458941686,1.10283751004459,1126
V1,da,card-obl,sub-0201,-0.00482844546038531,1.10283751004459,1126
V1,da,rad-tang,sub-0201,0.178313515260556,1.10283751004459,1126
V1,da,polc-polo,sub-0201,0.151748094081348,1.10283751004459,1126
V1,da,horiz-vert,sub-0255,-0.353845078821142,0.936636799485268,1606
V1,da,card-obl,sub-0255,0.00137913201087384,0.936636799485268,1606
V1,da,rad-tang,sub-0255,0.23533744082713,0.936636799485268,1606
V1,da,polc-polo,sub-0255,0.00948397922593402,0.936636799485268,1606
V1,da,horiz-vert,sub-wlsubj123,-0.137931982324846,1.04705220887972,1235
V1,da,card-obl,sub-wlsubj123,-0.0701677503767825,1.04705220887972,1235
V1,da,rad-tang,sub-wlsubj123,0.283573610642847,1.04705220887972,1235
V1,da,polc-polo,sub-wlsubj123,-0.0298231117773427,1.04705220887972,1235
V1,da,horiz-vert,sub-wlsubj124,-0.122874649713057,0.988239718461954,1564
V1,da,card-obl,sub-wlsubj124,-0.0648760879738019,0.988239718461954,1564
V1,da,rad-tang,sub-wlsubj124,0.0916254426925388,0.988239718461954,1564
V1,da,polc-polo,sub-wlsubj124,-0.0129011562232266,0.988239718461954,1564
V1,da,horiz-vert,sub-0426,-0.538633652932417,1.27244261164101,1135
V1,da,card-obl,sub-0426,-0.0624834690444748,1.27244261164101,1135
V1,da,rad-tang,sub-0426,0.0745680392859215,1.27244261164101,1135
V1,da,polc-polo,sub-0426,-0.014972592342477,1.27244261164101,1135
V1,da,horiz-vert,sub-0250,-0.210114896183319,0.762007094609426,1391
V1,da,card-obl,sub-0250,-0.151886301546449,0.762007094609426,1391
V1,da,rad-tang,sub-0250,0.256559677665591,0.762007094609426,1391
V1,da,polc-polo,sub-0250,0.107058891182301,0.762007094609426,1391
